element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,1685751677,Oscar Bar and Restaurant,POINT (-0.1349177 51.5184731),0,0,0,0,1,0,,
node,1685965726,,POINT (0.1755698 51.4495854),0,0,0,1,0,0,,
node,1685968020,,POINT (-0.0371554 51.4725464),0,0,0,0,1,0,,
node,1686385521,,POINT (-0.0357186 51.4744197),0,0,0,1,0,0,,
node,1689387893,K Place,POINT (-0.0833866 51.5103728),0,0,0,0,1,0,,
node,1689475301,Le Paris Grill,POINT (-0.0790157 51.511151),0,0,0,0,1,0,,
node,1694505331,Hoxton Grill,POINT (-0.0829588 51.5255789),0,0,0,0,1,0,,
node,1695350243,Edward Square & Prince Regent Court Parking,POINT (-0.0359574 51.5067398),0,0,0,1,0,0,,
node,1695350245,,POINT (-0.0365792 51.50684),0,0,0,1,0,0,,
node,1695350250,Edward Square Parking,POINT (-0.0367964 51.5067715),0,0,0,1,0,0,,
node,1697330142,St Peter's Hospital,POINT (-0.5262388 51.3766453),0,0,1,0,0,0,,
node,1708625423,Yuhoki,POINT (-0.0126887 51.5002858),0,0,0,0,1,0,,
node,1708682110,Hazev Restaurant,POINT (-0.0193041 51.5015256),0,0,0,0,1,0,,
node,1708683749,Goodman,POINT (-0.0183171 51.5013887),0,0,0,0,1,0,,
node,1708707199,Byblos Harbour,POINT (-0.0176468 51.4975232),0,0,0,0,1,0,,
node,1709354698,South Kebab & Meze Bar,POINT (-0.0343426 51.4852869),0,0,0,0,1,0,,
node,1711522754,Indos,POINT (-0.5081086 51.3879545),0,0,0,0,1,0,,
node,1717077705,Nexus,POINT (-0.1933333 51.4802983),0,0,0,0,1,0,,
node,1717643485,Browns,POINT (-0.0908026 51.5140407),0,0,0,0,1,0,,
node,1722133484,Sodo Pizza Café,POINT (-0.0205366 51.5861808),0,0,0,0,1,0,,
node,1723388900,Barbican Centre,POINT (-0.0938661 51.5206014),0,0,0,1,0,0,,
node,1723647442,Tree Island,POINT (-0.0236752 51.5842301),0,0,0,0,1,0,,
node,1726677998,Wawa,POINT (-0.078118 51.5015004),0,0,0,0,1,0,,
node,1735303347,TGI Friday's,POINT (0.0044093 51.5033355),0,0,0,0,1,0,,
node,1735303348,Gourmet Burger Kitchen,POINT (0.0042162 51.503409),0,0,0,0,1,0,,
node,1735303349,Zizzi,POINT (0.0049833 51.5034891),0,0,0,0,1,0,,
node,1735303358,Union Square,POINT (0.0043133 51.5024152),0,0,0,0,1,0,,
node,1735303365,Water Margin,POINT (0.0041572 51.5035325),0,0,0,0,1,0,,
node,1735303369,PizzaExpress,POINT (0.0050852 51.5029014),0,0,0,0,1,0,,
node,1735303372,The Slug and the Lettuce O2,POINT (0.0044093 51.5027946),0,0,0,0,1,0,,
node,1735303373,Thai Silk,POINT (0.0044039 51.5026744),0,0,0,0,1,0,,
node,1735303376,Frankie & Benny's,POINT (0.0043235 51.503055),0,0,0,0,1,0,,
node,1735309258,Nando's,POINT (0.0048492 51.5036327),0,0,0,0,1,0,,
node,1735309261,Chaeyenne Spur Steak & Grill,POINT (0.0046018 51.5038987),0,0,0,0,1,0,,
node,1735309264,Gaucho,POINT (0.004582 51.5021665),0,0,0,0,1,0,,
node,1735309265,Ha ha Bar & Grill,POINT (0.0025478 51.5042104),0,0,0,0,1,0,,
node,1735320597,Sound Bites Grill,POINT (0.0030816 51.5025593),0,0,0,0,1,0,,
node,1747582920,Westfield London Car Park A and B,POINT (-0.2220401 51.5082044),0,0,0,1,0,0,,
node,1747627718,Waitrose,POINT (-0.1800193 51.5461517),0,0,0,1,0,0,,
node,1757377762,Franco Manca,POINT (-0.0914182 51.5063082),0,0,0,0,1,0,,
node,1759561744,Flame and Fire,POINT (-0.3055298 51.4979032),0,0,0,0,1,0,,
node,1760413588,Canteen,POINT (-0.1163361 51.50557),0,0,0,0,1,0,,
node,1765207144,Frankie's,POINT (-0.1897538 51.4812924),0,0,0,0,1,0,,
