,latitude,longitude,college,food_court,hospital,parking,restaurant,university,distance,charging_station,cs_idx,amenity_idx
46,51.511865,-0.134884,0.0,0.0,0.0,0.0,1.0,0.0,79.03770502040766,1.0,17.0,2497.0
47,51.511865,-0.134884,0.0,0.0,0.0,0.0,1.0,0.0,19.724305863385492,1.0,17.0,2843.0
48,51.511865,-0.134884,0.0,0.0,0.0,0.0,1.0,0.0,86.93023654017956,1.0,17.0,2906.0
49,51.511865,-0.134884,0.0,0.0,0.0,0.0,1.0,0.0,78.25603199584721,1.0,17.0,3568.0
50,51.511865,-0.134884,0.0,0.0,0.0,0.0,1.0,0.0,47.11547810312948,1.0,17.0,3569.0
51,51.512046,-0.129753,0.0,0.0,0.0,1.0,0.0,0.0,38.71747494076685,1.0,18.0,16.0
52,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,55.080275625763946,1.0,18.0,431.0
53,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,85.89472362250339,1.0,18.0,816.0
54,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,50.561361981351496,1.0,18.0,2167.0
55,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,54.41678675554259,1.0,18.0,2683.0
56,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,52.54166890200505,1.0,18.0,2937.0
57,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,82.63688318793096,1.0,18.0,3980.0
58,51.512046,-0.129753,0.0,0.0,0.0,0.0,1.0,0.0,99.15703181404757,1.0,18.0,5520.0
59,51.513645,-0.1371679999999999,0.0,0.0,0.0,1.0,0.0,0.0,58.19409929686942,1.0,20.0,3156.0
60,51.513645,-0.1371679999999999,0.0,0.0,0.0,0.0,1.0,0.0,98.24109562219623,1.0,20.0,3313.0
61,51.513645,-0.1371679999999999,0.0,0.0,0.0,0.0,1.0,0.0,51.923246385105195,1.0,20.0,3972.0
62,51.516658,-0.1656979999999999,0.0,0.0,0.0,1.0,0.0,0.0,40.20027931182915,1.0,22.0,19.0
63,51.516658,-0.1656979999999999,0.0,0.0,0.0,0.0,1.0,0.0,61.399940508646644,1.0,22.0,193.0
