,latitude,longitude,college,food_court,hospital,parking,restaurant,university,charging_station
2328,51.447399,-0.153496,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4258,51.5151942,-0.1930085,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4514,51.507954,-0.305011,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6474,51.4952466,-0.1818734,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4082,51.3582569,0.1316749,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4397,51.5147056,-0.1092953,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7364,51.5144573,-0.4885001,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5221,51.660966,0.1844401,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2065,51.496059,-0.25609,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4232,51.49938,-0.114001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
473,51.51422,-0.12136,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2570,51.479653,0.085267,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7288,51.4840196,-0.1770011,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5240,51.5144168,-0.1113579,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4322,51.5091544,-0.1347572,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3382,51.485777,-0.06186,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6280,51.5173424,-0.1275042,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6367,51.6083598,-0.2770241,0.0,0.0,0.0,1.0,0.0,0.0,0.0
288,51.49821676330174,-0.019209339951999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
325,51.502002,-0.155974,0.0,0.0,0.0,0.0,1.0,0.0,1.0
555,51.520454,-0.157968,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3925,51.5462567,-0.1012753,0.0,0.0,0.0,0.0,1.0,0.0,0.0
784,51.6305963743017,-0.127217240778918,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1750,51.607052,-0.001344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3339,51.459599,-0.243064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4326,51.5543584,-0.1645522,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3234,51.55382185954994,-0.194408828098744,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3210,51.484796,-0.3962409999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5255,51.497733,-0.1976346,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6211,51.5176922,-0.078321,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1913,51.495743,-0.026421,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4165,51.4460129,-0.1502046,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3832,51.406701,-0.0315118,0.0,0.0,0.0,0.0,1.0,0.0,0.0
537,51.518793,-0.2083259999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520,51.545902,-0.4816769999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
951,51.4051907121277,-0.5102028732653711,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1172,51.359958,-0.188584,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5289,51.5321737,-0.1201935,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3069,51.458595,0.133011,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5364,51.55897,0.2352986,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3455,51.596289,-0.133679,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4567,51.4458122,-0.1505362,0.0,0.0,0.0,0.0,1.0,0.0,0.0
863,51.42603907129709,0.012529518554642,0.0,0.0,0.0,0.0,0.0,0.0,1.0
813,51.5245221767883,-0.117394924163818,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2098,51.531537,-0.213284,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7755,51.4830281,-0.014944,0.0,0.0,0.0,0.0,1.0,0.0,0.0
751,51.580926,-0.338848,0.0,0.0,0.0,1.0,1.0,0.0,1.0
6228,51.5253435,-0.1334389,0.0,0.0,0.0,0.0,0.0,1.0,0.0
324,51.501988481,-0.217436812505,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3108,51.574902,-0.217774,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5651,51.5284138,-0.0561901,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7090,51.468228,-0.3675866,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5793,51.4342224,-0.5122615,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5149,51.4622251,-0.0081395,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6660,51.5051696,-0.0990438,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,51.393398,-0.3031189999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3125,51.65353,-0.169714,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,51.477996,-0.101409,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5194,51.4903793,0.0122891,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5429,51.3713148,-0.4627918,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3431,51.538436,-0.177595,0.0,0.0,0.0,0.0,0.0,0.0,1.0
859,51.4652209967971,-0.171681303704874,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6846,51.4108261,-0.2281673,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6790,51.6318072,-0.0732365,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5180,51.5130738,-0.092593,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2897,51.554826,0.016769,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6626,51.5021271,-0.4265235,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2407,51.458402,-0.097745,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3665,51.666416,-0.1352243,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7311,51.5517867,0.0509594,0.0,0.0,0.0,0.0,1.0,0.0,0.0
994,51.645943,-0.4296359999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1506,51.5669712277856,-0.442260282803308,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3287,51.525147,-0.194766,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2331,51.44829,-0.156719,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5021,51.5112339,-0.1330899,0.0,0.0,0.0,0.0,1.0,0.0,0.0
834,51.42711621479754,-0.331124067306518,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7332,51.5126283,-0.4728852,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7406,51.4303978,-0.1748675,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1554,51.5037314401,-0.2357689359799999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
